Telephone sites
303 82
76 214
435 201
100 81
329 256
227 307
157 309
254 146
390 65
1 204
158 459
249 154
239 41
464 83
129 185
219 355
489 437
19 191
53 222
337 363
133 476
220 233
216 318
59 38
24 276
342 160
350 13
487 420
237 370
108 230
340 286
243 111
175 380
283 169
298 453
98 405
409 321
455 45
356 362
255 300
344 163
186 466
238 23
33 360
320 137
267 225
106 69
168 130
371 173
209 304
384 346
30 330
297 171
226 73
88 387
178 451
465 416
75 496
118 353
50 166
322 135
302 430
495 42
74 310
22 139
351 475
278 259
481 418
102 21
389 292
486 228
315 313
253 393
189 285
373 236
112 205
46 31
447 482
382 398
301 264
383 212
80 10
110 311
2 395
319 251
478 250
123 323
379 290
174 400
128 376
203 327
431 26
399 101
332 113
9 352
165 354
333 77
90 457
54 471
427 159
477 417
467 448
378 461
114 289
15 328
359 367
95 164
39 183
231 148
115 5
208 294
432 391
440 192
281 61
288 335
29 494
47 8
179 199
424 347
17 241
223 187
470 4
375 145
3 92
105 422
271 410
406 483
428 491
151 246
119 57
197 211
48 490
193 397
44 40
176 224
446 488
156 84
104 121
144 426
423 361
213 498
14 34
358 49
64 232
93 35
439 117
369 138
125 215
296 194
86 85
177 127
421 366
152 433
434 274
87 109
402 51
291 293
195 349
200 6
325 67
299 140
66 403
20 247
63 261
131 381
499 308
364 16
78 107
12 181
206 275
339 458
412 58
170 266
103 485
72 217
52 196
62 36
295 70
429 365
235 377
472 454
182 324
96 444
436 468
316 480
180 372
190 25
345 438
27 425
188 134
284 18
124 374
184 94
331 142
408 37
207 500
240 462
279 99
252 280
312 143
473 202
314 172
277 326
262 244
32 282
132 287
452 56
55 234
120 442
122 79
456 260
386 147
60 242
306 348
116 269
474 419
263 245
89 460
270 210
396 43
248 68
150 404
97 153
273 411
272 443
305 161
493 71
343 338
469 257
7 268
463 484
155 334
218 441
492 479
415 413
198 445
265 126
91 385
394 258
414 149
11 450
368 497
141 449
28 407
392 229
336 136
221 317
388 357
341 162
401 167
